Data,Relato,Sentimento
2025-06-15,Hoje eu me senti muito feliz e produtivo.,Positivo
2025-06-16,"O dia foi cansativo, estou exausto.",Negativo
2025-06-17,"Dia normal, sem muitas emoções.",Neutro
2025-06-18,"Tive uma ótima notícia no trabalho, estou muito contente!",Positivo
2025-06-19,Senti-me triste e sobrecarregado hoje.,Negativo
2025-06-15,Hoje fui muito grato.,Positivo
2025-06-15,Hoje me senti muito feliz.,Positivo
2025-06-15,Hoje me senti triste,Negativo
2025-06-15,Hoje me senti grato,Positivo
2025-06-15,"Hoje eu fiz o projeto de IA que o professor passou, juntamente com minha dupla e estou muito feliz.",Positivo
